4173216		56		28672		5		1398316534.091247985		1398316534.091303193		1398316534.096166839		1398316534.098176370
4173272		8		4096		5		1398316534.098295901		1398316534.098384912		1398316534.098393870		1398316534.099068349
52450312		48		24576		5		1398316534.235946162		1398316534.236000068		1398316534.236031110		1398316534.237417933
4173280		153		78336		5		1398316534.237679547		1398316534.237711839		1398316534.237736318		1398316534.244213714
4173416		8		4096		5		1398316534.244423141		1398316534.244515954		1398316534.244525902		1398316534.245205902
1543448		16		8192		4		1398316534.257767620		1398316534.257843401		1398316534.257869183		1398316534.258312620
1543504		32		16384		0		1398316534.257787985		1398316534.257888297		1398316534.258329339		1398316534.258862464
1543560		24		12288		0		1398316534.257795068		1398316534.258522204		1398316534.258875797		1398316534.259153974
1543600		16		8192		0		1398316534.257801735		1398316534.258914339		1398316534.259166266		1398316534.259420641
1543632		24		12288		0		1398316534.257810901		1398316534.259209860		1398316534.259435120		1398316534.259802933
1544288		144		73728		4		1398316534.287351735		1398316534.287404391		1398316534.287461266		1398316534.288376787
1544440		72		36864		0		1398316534.287370954		1398316534.287480329		1398316534.288389808		1398316534.289001995
1544520		24		12288		0		1398316534.287379079		1398316534.288463193		1398316534.289012724		1398316534.289298558
18151816		48		24576		5		1398316534.318204912		1398316534.318263037		1398316534.318297776		1398316534.319709964
4173424		88		45056		5		1398316534.319884027		1398316534.320031527		1398316534.320044183		1398316534.323515641
4173512		8		4096		5		1398316534.323625329		1398316534.323727412		1398316534.323734183		1398316534.324407308
1526536		136		69632		4		1398316534.389427516		1398316534.389469026		1398316534.389525589		1398316534.390432152
1526680		8		4096		0		1398316534.389438506		1398316534.389545537		1398316534.390446995		1398316534.390679391
1525072		16		8192		0		1398316534.390573350		1398316534.390589704		1398316534.390692464		1398316534.390950173
1536032		8		4096		4		1398316534.392287881		1398316534.392326839		1398316534.392340537		1398316534.392569079
1536064		8		4096		0		1398316534.392295016		1398316534.392355902		1398316534.392584495		1398316534.392812047
1536096		8		4096		0		1398316534.392301318		1398316534.392614808		1398316534.392822829		1398316534.393052360
1536128		8		4096		0		1398316534.392307204		1398316534.392851475		1398316534.393063141		1398316534.393278141
1536152		8		4096		0		1398316534.392310850		1398316534.393093193		1398316534.393289443		1398316534.393528141
1544784		16		8192		4		1398316534.396677776		1398316534.396699808		1398316534.396721839		1398316534.396990693
1542672		8		4096		4		1398316534.397274131		1398316534.397288558		1398316534.397299391		1398316534.397530485
1542616		48		24576		0		1398316534.397270276		1398316534.397321943		1398316534.397542516		1398316534.398079860
1542512		96		49152		0		1398316534.397258922		1398316534.397570172		1398316534.398090329		1398316534.398702724
1542488		8		4096		0		1398316534.397241370		1398316534.398128245		1398316534.398714026		1398316534.398940224
19714304		8		4096		5		1398316534.401433402		1398316534.401492725		1398316534.401513141		1398316534.402204131
19714336		40		20480		1		1398316534.401445381		1398316534.401538975		1398316534.402247100		1398316534.403478037
4173520		80		40960		5		1398316534.403770381		1398316534.403804547		1398316534.403816891		1398316534.407258141
4173600		8		4096		5		1398316534.407352256		1398316534.407445641		1398316534.407452412		1398316534.408157204
19714304		8		4096		5		1398316534.408274443		1398316534.408295381		1398316534.408305589		1398316534.409001995
19714312		8		4096		5		1398316534.409369131		1398316534.409423506		1398316534.409435328		1398316534.410154391
4258592		8		4096		1		1398316534.409383506		1398316534.409450381		1398316534.410186006		1398316534.410899287
4258632		24		12288		1		1398316534.409396735		1398316534.410223871		1398316534.410934183		1398316534.412125902
19714304		8		4096		5		1398316534.412390485		1398316534.412414339		1398316534.412427412		1398316534.413138558
1522352		32		16384		4		1398316534.415115745		1398316534.415153193		1398316534.415206422		1398316534.415593818
1522224		32		16384		4		1398316534.424206058		1398316534.424235641		1398316534.424265277		1398316534.424655433
1522256		64		32768		4		1398316534.424946058		1398316534.424962204		1398316534.424989860		1398316534.425505589
1522320		32		16384		4		1398316534.429744599		1398316534.429828350		1398316534.429870537		1398316534.430239964
1522384		64		32768		0		1398316534.429759912		1398316534.429900277		1398316534.430249131		1398316534.430840068
1522200		24		12288		4		1398316534.449518922		1398316534.449555276		1398316534.449606318		1398316534.450087204
1522192		8		4096		4		1398316534.455890954		1398316534.455911162		1398316534.455930068		1398316534.456167829
49786472		16		8192		5		1398316534.682011058		1398316534.682063818		1398316534.685693349		1398316534.686569391
52432368		8		4096		1		1398316534.681984860		1398316534.685728506		1398316534.686615485		1398316534.687311526
52450360		16		8192		1		1398316534.684158506		1398316534.686675901		1398316534.687353662		1398316534.688010797
4173608		88		45056		5		1398316534.688222256		1398316534.688260120		1398316534.688279026		1398316534.691112568
4173696		8		4096		5		1398316534.691310641		1398316534.691435329		1398316534.691448558		1398316534.692163975
4173704		72		36864		5		1398316534.693733297		1398316534.693790068		1398316534.693813402		1398316534.695978297
4173776		8		4096		5		1398316534.696146735		1398316534.696268558		1398316534.696280849		1398316534.696969547
52432368		8		4096		5		1398316534.697177099		1398316534.697210954		1398316534.697227360		1398316534.697925433
5295424		8		4096		5		1398316534.698232516		1398316534.698262516		1398316534.698281787		1398316534.699010016
49786448		8		4096		1		1398316534.698210537		1398316534.698303818		1398316534.699060537		1398316534.699748089
52432368		8		4096		5		1398316534.700146371		1398316534.700184027		1398316534.700204443		1398316534.700889860
7384064		8		4096		5		1398316534.809862568		1398316534.810144860		1398316534.810170954		1398316534.811115277
7403520		8		4096		1		1398316534.809917048		1398316534.810205329		1398316534.811163818		1398316534.811818402
51669496		24		12288		1		1398316534.810042725		1398316534.811216579		1398316534.811861475		1398316534.813225016
