5658696		256		131072		4		1429741776.352334811		1429741776.352356790		1429741776.352380332		1429741776.353652884
5658952		256		131072		4		1429741776.355693144		1429741776.355715696		1429741776.355738925		1429741776.357011581
5659208		256		131072		4		1429741776.359061009		1429741776.359084134		1429741776.359106842		1429741776.360373457
5659464		256		131072		4		1429741776.362412415		1429741776.362433561		1429741776.362457467		1429741776.363729707
5659720		256		131072		4		1429741776.365766061		1429741776.365786321		1429741776.365808821		1429741776.367078977
5659976		256		131072		4		1429741776.369136321		1429741776.369160540		1429741776.369183613		1429741776.370459186
5660232		256		131072		4		1429741776.372485696		1429741776.372506946		1429741776.372530384		1429741776.373807102
5660488		256		131072		4		1429741776.375840279		1429741776.375859811		1429741776.375883196		1429741776.377150644
5660744		256		131072		4		1429741776.379218301		1429741776.379242363		1429741776.379264290		1429741776.380540748
5661000		256		131072		4		1429741776.382571530		1429741776.382596269		1429741776.382619811		1429741776.383895696
5661256		256		131072		4		1429741776.385934029		1429741776.385954654		1429741776.385977675		1429741776.387244706
5661512		256		131072		4		1429741776.389325853		1429741776.389350644		1429741776.389373717		1429741776.390651165
5661768		256		131072		4		1429741776.392668196		1429741776.392692519		1429741776.392714134		1429741776.393991061
5662024		256		131072		4		1429741776.396033613		1429741776.396057519		1429741776.396080540		1429741776.397357102
5662280		256		131072		4		1429741776.399387988		1429741776.399413926		1429741776.399438561		1429741776.400716061
5662536		56		28672		4		1429741776.402707727		1429741776.402728873		1429741776.402745852		1429741776.403212988
5663048		144		73728		4		1429741776.412925800		1429741776.412952884		1429741776.412975592		1429741776.413877363
5663192		256		131072		4		1429741776.413969342		1429741776.413989290		1429741776.414011217		1429741776.415254238
5663448		88		45056		4		1429741776.415836842		1429741776.415856321		1429741776.415873769		1429741776.416534029
37019896		8		4096		5		1429741777.141136635		1429741777.141167937		1429741777.143880801		1429741777.145904759
4053928		104		53248		5		1429741777.146082364		1429741777.146116218		1429741777.146129186		1429741777.148296374
4054032		8		4096		5		1429741777.148422311		1429741777.148513874		1429741777.148522051		1429741777.149200801
37019904		8		4096		5		1429741777.174136841		1429741777.174167570		1429741777.174185278		1429741777.174978768
4054040		80		40960		5		1429741777.175309393		1429741777.175339341		1429741777.175350695		1429741777.179363300
4054120		8		4096		5		1429741777.179466268		1429741777.179557779		1429741777.179564706		1429741777.180236164
37019912		8		4096		5		1429741777.181104081		1429741777.181125852		1429741777.181135852		1429741777.181739081
4054128		72		36864		5		1429741777.181864445		1429741777.181889549		1429741777.181901164		1429741777.185635330
4054200		8		4096		5		1429741777.185728143		1429741777.185817987		1429741777.185824184		1429741777.186486580
37019920		8		4096		5		1429741777.187174861		1429741777.187194184		1429741777.187203455		1429741777.187805226
4054208		72		36864		5		1429741777.187926268		1429741777.187951007		1429741777.187961736		1429741777.189846633
4054280		8		4096		5		1429741777.189939914		1429741777.190032102		1429741777.190038664		1429741777.190635174
49582080		8		4096		5		1429741777.969063607		1429741777.970156315		1429741777.975727464		1429741777.976623974
49582104		16		8192		1		1429741777.969107565		1429741777.975833453		1429741777.976786474		1429741777.977526891
51155096		8		4096		1		1429741777.969191888		1429741777.976948662		1429741777.977679964		1429741777.978431996
51155160		8		4096		1		1429741777.969245117		1429741777.977842152		1429741777.978581006		1429741777.979276528
51155192		8		4096		1		1429741777.969283711		1429741777.978725069		1429741777.979426059		1429741777.980135174
51155328		73		37376		1		1429741777.969317878		1429741777.979567570		1429741777.980283247		1429741777.985884237
49742336		25		12800		5		1429741777.986569289		1429741777.986968248		1429741777.987035435		1429741777.989107468
37026344		41		20992		5		1429741780.223946892		1429741780.224030798		1429741780.227759183		1429741780.230277361
4054288		96		49152		5		1429741780.230626632		1429741780.230657309		1429741780.230670798		1429741780.234746736
4054384		8		4096		5		1429741780.234856840		1429741780.234951683		1429741780.234958350		1429741780.235538454
37026344		8		4096		5		1429741780.235669131		1429741780.235687152		1429741780.235697152		1429741780.236323767
49721984		33		16896		5		1429741780.236553558		1429741780.236596319		1429741780.236616319		1429741780.238538194
37026344		8		4096		5		1429741780.238759339		1429741780.238849288		1429741780.238860017		1429741780.239541996
37026344		41		20992		5		1429741780.240334288		1429741780.240370642		1429741780.240392413		1429741780.242724496
4054392		16		8192		5		1429741780.242990486		1429741780.243006736		1429741780.243015850		1429741780.243639756
4054408		8		4096		5		1429741780.243712256		1429741780.243804861		1429741780.243811163		1429741780.244407204
37026344		8		4096		5		1429741780.244496788		1429741780.244513871		1429741780.244523819		1429741780.245217204
49721984		33		16896		5		1429741780.245431631		1429741780.245472725		1429741780.245492360		1429741780.247276423
37026344		8		4096		5		1429741780.247506944		1429741780.247521892		1429741780.247531787		1429741780.248211214
37026344		41		20992		5		1429741780.249259757		1429741780.249295746		1429741780.249318246		1429741780.251772205
4054416		16		8192		5		1429741780.252040538		1429741780.252056475		1429741780.252065746		1429741780.253038559
4054432		8		4096		5		1429741780.253108194		1429741780.253194809		1429741780.253201059		1429741780.253870746
37026344		8		4096		5		1429741780.253956944		1429741780.253974027		1429741780.253983975		1429741780.254681319
49721984		33		16896		5		1429741780.254896631		1429741780.254937881		1429741780.254957361		1429741780.257376423
37026344		8		4096		5		1429741780.257598819		1429741780.257613819		1429741780.257623714		1429741780.258304496
37026344		41		20992		5		1429741780.259321215		1429741780.259357153		1429741780.259379288		1429741780.261849027
4054440		16		8192		5		1429741780.262112934		1429741780.262129392		1429741780.262138559		1429741780.262749809
4054456		8		4096		5		1429741780.262821892		1429741780.262914288		1429741780.262920642		1429741780.263513142
