50865304		8		4096		1		1398398425.513691287		1398398425.513715089		1398398425.514272746		1398398425.514985298
52511272		8		4096		1		1398398425.514652954		1398398425.514679829		1398398425.515033162		1398398425.515737069
4132872		88		45056		1		1398398425.515158110		1398398425.515192069		1398398425.515768579		1398398425.519207329
4132960		8		4096		5		1398398425.519354360		1398398425.519472641		1398398425.519484516		1398398425.520203110
52511272		8		4096		5		1398398425.521742693		1398398425.521774099		1398398425.521792589		1398398425.522482746
50330856		25		12800		5		1398398425.992129465		1398398425.992199673		1398398425.994900037		1398398425.996443423
4132968		64		32768		5		1398398425.997278006		1398398425.997326235		1398398425.997350610		1398398426.000648579
4133032		8		4096		5		1398398426.000791183		1398398426.000905141		1398398426.000915506		1398398426.001598110
50330856		8		4096		5		1398398426.001774151		1398398426.001807693		1398398426.001863475		1398398426.002572537
50330864		17		8704		5		1398398426.002878892		1398398426.002930142		1398398426.002951756		1398398426.004338683
50330856		8		4096		5		1398398426.006888787		1398398426.006924308		1398398426.006943475		1398398426.007657798
50630656		273		139776		5		1398398429.131920766		1398398429.132693213		1398398429.135657692		1398398429.156666755
4133040		24		12288		5		1398398431.932730140		1398398431.934136390		1398398431.938978421		1398398431.940401129
4133064		8		4096		5		1398398431.940844619		1398398431.941196129		1398398431.941235087		1398398431.942030817
52511272		8		4096		5		1398398435.478565450		1398398435.478600242		1398398435.481102116		1398398435.481927586
4133072		113		57856		5		1398398435.482147117		1398398435.482173940		1398398435.482197794		1398398435.487949304
4133168		8		4096		5		1398398435.488136231		1398398435.488235658		1398398435.488244877		1398398435.488935919
52511272		8		4096		5		1398398435.491870450		1398398435.491901961		1398398435.491922273		1398398435.492629565
4133176		16		8192		5		1398398435.494072533		1398398435.494111440		1398398435.494137742		1398398435.494859669
4133192		8		4096		5		1398398435.494938106		1398398435.495021804		1398398435.495028679		1398398435.495699044
4805704		8		4096		4		1398398435.524890606		1398398435.524942690		1398398435.524965138		1398398435.525341231
4805744		48		24576		0		1398398435.524906075		1398398435.524983627		1398398435.525354148		1398398435.525792898
4805800		24		12288		0		1398398435.524914669		1398398435.525389981		1398398435.525803835		1398398435.526088158
52511272		8		4096		1		1398398435.525129825		1398398435.525850710		1398398435.526099252		1398398435.526791596
4133200		16		8192		5		1398398435.527227064		1398398435.527253002		1398398435.527266960		1398398435.527994825
4133216		8		4096		5		1398398435.528088054		1398398435.528183731		1398398435.528193887		1398398435.528930294
52511272		8		4096		5		1398398435.530650971		1398398435.530718887		1398398435.530754304		1398398435.531482221
50865312		8		4096		5		1398398435.540029616		1398398435.540063783		1398398435.540084252		1398398435.540817637
4133224		56		28672		5		1398398435.540974200		1398398435.541016283		1398398435.541039252		1398398435.544751283
4133280		8		4096		5		1398398435.544866231		1398398435.545015867		1398398435.545025710		1398398435.545725346
50865320		8		4096		5		1398398435.547437533		1398398435.547489304		1398398435.547523679		1398398435.548238158
